date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
14-Nov-2016 16:58:34, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 3.883295e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 16:58:42, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 7.943852e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 16:58:49, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 4.514036e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 None 
14-Nov-2016 16:58:55, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.129175e-08, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-08, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 16:59:01, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.128966e-08, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-08, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 16:59:06, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.456492e-08, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-08, 	 1.000000e-12, 	 None 
14-Nov-2016 17:03:41, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 3.883295e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:03:48, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 7.943852e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:03:55, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 4.514036e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 None 
14-Nov-2016 17:04:01, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.129175e-08, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-08, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:04:07, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.128966e-08, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-08, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:04:12, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.456492e-08, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-08, 	 1.000000e-12, 	 None 
14-Nov-2016 17:07:12, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 3.883295e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:07:21, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 7.943852e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:07:30, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 4.514036e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 None 
