Date,ProblemType,ExampleNumber,m,n,MeanMethod,F_max,F_min,G_max,G_min,Preproc,alpha,theta25-May-2016 09:18:16, 	 GCD, 	 1, 	 4, 	 3, 	 Geometric Mean Matlab Method, 	 1.473613e+00, 	 -1.842016e+00, 	 1.414214e+00, 	 -2.828427e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:25, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.000000e+00, 	 -5.694000e+00, 	 2.215916e+01, 	 -6.980000e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:25, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.637280e+01, 	 -8.460000e+00, 	 1.880320e+01, 	 -1.670695e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:25, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.632018e-01, 	 -7.504423e-01, 	 5.418774e+00, 	 -6.133879e-01, 	 y, 	 1.384893e-01, 	 6.667760e-01 
25-May-2016 09:30:25, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.116080e+00, 	 -1.028269e+00, 	 3.779096e+00, 	 -3.600535e+00, 	 y, 	 2.953299e-01, 	 6.813457e-01 
25-May-2016 09:30:25, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.000000e+00, 	 -5.694000e+00, 	 2.215916e+01, 	 -6.980000e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:26, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.637280e+01, 	 -8.460000e+00, 	 1.880320e+01, 	 -1.670695e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:26, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.632018e-01, 	 -7.504423e-01, 	 5.418774e+00, 	 -6.133879e-01, 	 y, 	 1.384893e-01, 	 6.667760e-01 
25-May-2016 09:30:26, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.116080e+00, 	 -1.028269e+00, 	 3.779096e+00, 	 -3.600535e+00, 	 y, 	 2.953299e-01, 	 6.813457e-01 
25-May-2016 09:30:26, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 2.200762e+00, 	 -1.253114e+01, 	 7.001713e+00, 	 -2.205497e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:26, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 3.591684e-01, 	 -1.651545e+00, 	 1.712190e+00, 	 -1.938145e-01, 	 y, 	 9.645803e-01, 	 6.667760e-01 
25-May-2016 09:30:26, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.450114e+01, 	 -7.492891e+00, 	 4.530432e+00, 	 -4.025362e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:26, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 9.884950e-01, 	 -9.107215e-01, 	 9.105333e-01, 	 -8.675108e-01, 	 y, 	 1.085622e+00, 	 6.813457e-01 
25-May-2016 09:30:26, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 2.200762e+00, 	 -1.253114e+01, 	 7.001713e+00, 	 -2.205497e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:27, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 3.591684e-01, 	 -1.651545e+00, 	 1.712190e+00, 	 -1.938145e-01, 	 y, 	 9.645803e-01, 	 6.667760e-01 
25-May-2016 09:30:27, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.450114e+01, 	 -7.492891e+00, 	 4.530432e+00, 	 -4.025362e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:27, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 9.884950e-01, 	 -9.107215e-01, 	 9.105333e-01, 	 -8.675108e-01, 	 y, 	 1.085622e+00, 	 6.813457e-01 
25-May-2016 09:30:27, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.000000e+00, 	 -4.100000e+00, 	 3.672840e+01, 	 -6.629296e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:27, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	 None, 	 4.551755e-01, 	 -1.295813e+00, 	 1.406482e+01, 	 -3.726891e+01, 	 y, 	 3.476928e-02, 	 8.253277e-01 
25-May-2016 09:30:27, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.195358e+05, 	 -1.428952e+05, 	 1.974869e+03, 	 -2.437107e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:28, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.952601e+06, 	 -2.453421e+06, 	 7.091920e+04, 	 -7.372620e+04, 	 y, 	 3.327746e+01, 	 2.537300e+00 
25-May-2016 09:30:28, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.000000e+00, 	 -4.100000e+00, 	 3.672840e+01, 	 -6.629296e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:28, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	 None, 	 4.551755e-01, 	 -1.295813e+00, 	 1.406482e+01, 	 -3.726891e+01, 	 y, 	 3.476928e-02, 	 8.253277e-01 
25-May-2016 09:30:28, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.195358e+05, 	 -1.428952e+05, 	 1.974869e+03, 	 -2.437107e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:28, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.952601e+06, 	 -2.453421e+06, 	 7.091920e+04, 	 -7.372620e+04, 	 y, 	 3.327746e+01, 	 2.537300e+00 
25-May-2016 09:30:28, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 2.989577e+00, 	 -1.225726e+01, 	 3.524073e+00, 	 -6.360780e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:28, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 1.360782e+00, 	 -3.873933e+00, 	 1.349513e+00, 	 -3.575935e+00, 	 y, 	 1.083334e+00, 	 8.253277e-01 
25-May-2016 09:30:29, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 2.989577e+00, 	 -1.225726e+01, 	 3.524073e+00, 	 -6.360780e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:29, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 1.360782e+00, 	 -3.873933e+00, 	 1.349513e+00, 	 -3.575935e+00, 	 y, 	 1.083334e+00, 	 8.253277e-01 
25-May-2016 09:30:29, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 2.864878e+01, 	 -3.424725e+01, 	 8.464553e+00, 	 -1.044577e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:29, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 4.679740e+02, 	 -5.880039e+02, 	 3.039692e+02, 	 -3.160003e+02, 	 y, 	 1.860770e+00, 	 2.537300e+00 
