date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
25-May-2016 12:26:41, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	     6, 	 1.313859e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:41, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	     5, 	 2.280425e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:41, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	     6, 	 2.823864e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:41, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	     5, 	 3.648954e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:42, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	     6, 	 2.071436e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:42, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	     5, 	 2.100871e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:42, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	     6, 	 1.554193e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:42, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	     5, 	 1.836110e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:43, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	     6, 	 4.615653e-13, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:43, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	     6, 	 2.822816e-11, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:43, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	     5, 	 3.351578e-12, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:43, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	     5, 	 3.645568e-11, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:43, 	 GCD, 	 Custom:m=7 n=7 t=6 low=-1 high=5, 	 7, 	 7, 	     6, 	 2.001522e-12, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:43, 	 GCD, 	 Custom:m=9 n=8 t=5 low=-1 high=5, 	 9, 	 8, 	     5, 	 2.102431e-11, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
