Date,ProblemType,ExampleNumber,ErrorMyMethod,ErrorMusserMethod,ErrorMatlabMethod,ErrorMultroots,MeanMethod,Preproc,emin,emax,LowRankMethod,DeconvolutionMethod,TimeMyMethod,TimeMusserMethod,UX_Method
25-May-2016 09:44:41, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.320979e-11, 	 1.120234e-11, 	 9.787995e-14, 	 5.952541e-13, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 2.625258e+00, 	 1.190519e+00, 	 From ux 
25-May-2016 09:44:42, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 3.493536e-11, 	 1.442078e-09, 	 2.032475e-13, 	 5.827608e-13, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 3.409017e+00, 	 1.139353e+00, 	 From ux 
25-May-2016 09:44:43, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 5.440885e-12, 	 1.020854e-11, 	 9.787995e-14, 	 5.952541e-13, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 6.851154e-01, 	 7.485486e-01, 	 From ux 
25-May-2016 09:44:44, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 7.456750e-12, 	 4.446351e-11, 	 9.787995e-14, 	 5.952541e-13, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 9.661526e-02, 	 8.865275e-02, 	 From ux 
25-May-2016 09:44:45, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 6.033523e-12, 	 5.372641e-11, 	 2.032475e-13, 	 5.827608e-13, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 9.336391e-01, 	 1.129269e+00, 	 From ux 
25-May-2016 09:44:45, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 2.012244e-11, 	 1.673123e-11, 	 9.787995e-14, 	 5.952541e-13, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 7.867374e-02, 	 6.910480e-02, 	 From ux 
25-May-2016 09:44:46, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 1.944743e-09, 	 3.413086e-09, 	 2.032475e-13, 	 5.827608e-13, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 1.370472e-01, 	 1.341177e-01, 	 From ux 
25-May-2016 09:44:46, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 1.850833e-10, 	 3.935902e-11, 	 2.032475e-13, 	 5.827608e-13, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.503698e-01, 	 1.473203e-01, 	 From ux 
25-May-2016 09:44:47, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.321125e-11, 	 1.121009e-11, 	 9.787995e-14, 	 5.952541e-13, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 5.659419e-01, 	 7.156888e-01, 	 From ux 
25-May-2016 09:44:48, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 5.438015e-12, 	 1.021094e-11, 	 9.787995e-14, 	 5.952541e-13, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 5.367086e-01, 	 7.023001e-01, 	 From ux 
25-May-2016 09:44:49, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 3.490133e-11, 	 1.441228e-09, 	 2.032475e-13, 	 5.827608e-13, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 9.170590e-01, 	 1.049740e+00, 	 From ux 
25-May-2016 09:44:49, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 7.461154e-12, 	 4.446589e-11, 	 9.787995e-14, 	 5.952541e-13, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 7.666615e-02, 	 5.889196e-02, 	 From ux 
25-May-2016 09:44:50, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.843273e-11, 	 9.919266e-12, 	 9.787995e-14, 	 5.952541e-13, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 8.837743e-02, 	 6.541360e-02, 	 From ux 
25-May-2016 09:44:51, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 6.085722e-12, 	 5.389381e-11, 	 2.032475e-13, 	 5.827608e-13, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 8.735347e-01, 	 1.051874e+00, 	 From ux 
25-May-2016 09:44:51, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.321388e-10, 	 1.121037e-10, 	 9.636637e-13, 	 5.947383e-12, 	 None, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 5.527577e-01, 	 6.593792e-01, 	 From ux 
25-May-2016 09:44:52, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 1.944065e-09, 	 3.411054e-09, 	 2.032475e-13, 	 5.827608e-13, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 1.039187e-01, 	 1.204260e-01, 	 From ux 
25-May-2016 09:44:53, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.281857e-09, 	 9.543427e-11, 	 2.032475e-13, 	 5.827608e-13, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.424706e-01, 	 1.498830e-01, 	 From ux 
25-May-2016 09:44:53, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 5.435547e-11, 	 1.020877e-10, 	 9.636637e-13, 	 5.947383e-12, 	 None, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 4.710174e-01, 	 6.376224e-01, 	 From ux 
25-May-2016 09:44:54, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 7.467877e-11, 	 4.447002e-10, 	 9.636637e-13, 	 5.947383e-12, 	 None, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 7.052515e-02, 	 6.152650e-02, 	 From ux 
25-May-2016 09:44:55, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 2.011291e-10, 	 1.661163e-10, 	 9.636637e-13, 	 5.947383e-12, 	 None, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 9.284597e-02, 	 7.608070e-02, 	 From ux 
25-May-2016 09:44:55, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 3.494466e-10, 	 1.442280e-08, 	 2.061875e-12, 	 5.827470e-12, 	 None, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 8.456445e-01, 	 9.943623e-01, 	 From ux 
25-May-2016 09:44:56, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.321469e-10, 	 1.121020e-10, 	 9.636637e-13, 	 5.947383e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 4.683722e-01, 	 6.567178e-01, 	 From ux 
25-May-2016 09:44:58, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 6.081300e-11, 	 5.376802e-10, 	 2.061875e-12, 	 5.827470e-12, 	 None, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 9.835400e-01, 	 1.126088e+00, 	 From ux 
25-May-2016 09:44:58, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 5.435807e-11, 	 1.020912e-10, 	 9.636637e-13, 	 5.947383e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 5.790102e-01, 	 6.707201e-01, 	 From ux 
25-May-2016 09:44:59, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.232576e-08, 	 3.416001e-08, 	 2.061875e-12, 	 5.827470e-12, 	 None, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 1.627223e-01, 	 1.190472e-01, 	 From ux 
25-May-2016 09:44:59, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 7.466919e-11, 	 4.446928e-10, 	 9.636637e-13, 	 5.947383e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 7.640823e-02, 	 6.025162e-02, 	 From ux 
25-May-2016 09:44:59, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.844073e-10, 	 9.597062e-11, 	 9.636637e-13, 	 5.947383e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 9.005927e-02, 	 7.289195e-02, 	 From ux 
25-May-2016 09:45:00, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 1.861612e-09, 	 3.983047e-10, 	 2.061875e-12, 	 5.827470e-12, 	 None, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.377446e-01, 	 1.270619e-01, 	 From ux 
25-May-2016 09:45:01, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.321384e-09, 	 1.120947e-09, 	 9.593762e-12, 	 5.947465e-11, 	 None, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 None, 	 Batch, 	 5.196943e-01, 	 6.062114e-01, 	 From ux 
25-May-2016 09:45:02, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 3.494388e-10, 	 1.442043e-08, 	 2.061875e-12, 	 5.827470e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 8.043322e-01, 	 9.501027e-01, 	 From ux 
25-May-2016 09:45:03, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 5.435064e-10, 	 1.020819e-09, 	 9.593762e-12, 	 5.947465e-11, 	 None, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 4.849362e-01, 	 6.258196e-01, 	 From ux 
25-May-2016 09:45:03, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 7.468445e-10, 	 4.446604e-09, 	 9.593762e-12, 	 5.947465e-11, 	 None, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 None, 	 Batch, 	 7.223688e-02, 	 5.567599e-02, 	 From ux 
25-May-2016 09:45:04, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 6.081145e-11, 	 5.383665e-10, 	 2.061875e-12, 	 5.827470e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 7.845598e-01, 	 9.122897e-01, 	 From ux 
25-May-2016 09:45:04, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 2.011498e-09, 	 1.661118e-09, 	 9.593762e-12, 	 5.947465e-11, 	 None, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 7.418423e-02, 	 6.255238e-02, 	 From ux 
25-May-2016 09:45:05, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.213043e-08, 	 3.416151e-08, 	 2.061875e-12, 	 5.827470e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 1.050914e-01, 	 9.141893e-02, 	 From ux 
25-May-2016 09:45:06, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.552056e-08, 	 9.549135e-10, 	 2.061875e-12, 	 5.827470e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.438330e-01, 	 1.366018e-01, 	 From ux 
25-May-2016 09:45:06, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.321382e-09, 	 1.121004e-09, 	 9.593762e-12, 	 5.947465e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 None, 	 Batch, 	 3.777748e-01, 	 5.968692e-01, 	 From ux 
25-May-2016 09:45:07, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 5.435412e-10, 	 1.020832e-09, 	 9.593762e-12, 	 5.947465e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 4.671995e-01, 	 6.381262e-01, 	 From ux 
